# Traducciones de UI de DCSS - Habilidades
# Fuente: skills.cc, skill-menu.cc
# Formato: Texto Inglés|Texto Español
# ============================================================================

# --- Nombres de habilidades ---
Fighting|Combate
Swamp Dragon|Dragón del pantano
Swashbuckler|Espadachín
Swordfish|Pez Espada
Swordmaster|Maestro Espadachín
Teletunneler|Teletunelador
Thanatomancer|Tanatomante
Thaumaturge|Taumaturgo
Thief of Divinity|Ladrón de la Divinidad
Thrower|Tirador
Tinkerer|Manitas
Titancaster|Lanzatitanes
Tortoise|Tortuga
Toxicologist|Toxicólogo
Trooper|Soldado
True Ascetic|Verdadero Asceta
Twirler|Giratorio
Twister|Torbellino
Unbeliever|Incrédulo
Undying Armoury|Arsenal Inmortal
Unseen|Invisible
Vandal|Vándalo
Vexing|Irritante
Vigilant|Vigilante
Wallbreaker|Rompedor de Muros
Warrior|Guerrero
Weightless Champion|Campeón sin peso
Whirler|Remolinador
Who Hides the Stars|Quien esconde las estrellas
Wishgranter|Concededeseos
Worldbinder|Atamundos
Wrestler|Luchador
Yokozuna|Yokozuna
Zephyrmancer|Cefiromante

# --- Títulos con placeholders (@...@) ---
@Adj@ Arbalest|@Adj@ Ballesta
@Adj@ Ballista|@Adj@ Ballista
@Adj@ Barricade|@Adj@ Barricada
@Adj@ Blade|@Adj@ Hoja
@Adj@ Catapult|@Adj@ Catapulta
@Adj@ Porcupine|@Adj@ Puercoespín
@Genus_Short@ of Death|@Genus_Short@ de la Muerte
@Weight@weight Champion|@Weight@campeón
Marks@genus@|Marcas@genus@
Merry @Genus@|Alegre @Genus@
Placeless @Genus@|Sin lugar @Genus@
Plane @Walker@|Plano @Walker@
Shapeless @Genus@|Informe @Genus@

# --- Cadenas de interfaz ---
You cannot train any new skills!|¡No puedes entrenar nuevas habilidades!
You need to enable at least one skill for training.|Necesitas habilitar al menos una habilidad para entrenar.
Your training target must be 27 or below!|Tu objetivo de entrenamiento debe ser 27 o menor!
You can't set training targets!|¡No puedes establecer objetivos de entrenamiento!
In automatic mode, skills are trained as you use them.|En modo automático, las habilidades se entrenan mientras las usas.
Focused skills train twice as fast relative to others.|Las habilidades centradas se entrenan el doble de rápido en relación con otras.
In manual mode, experience is spread evenly across all|En modo manual, la experiencia se extiende uniformemente entre todas las
Select the skills to train.|Selecciona las habilidades para entrenar.
Select the skills you want to be trained.|Selecciona las habilidades que quieras entrenar.
Press the letter of a skill to cycle between|Pulsa la tecla de una habilidad para alternar entre
Press the letter of a skill to choose whether you want to|Pulsa la tecla de una habilidad para elegir si deseas
Press <w>?</w> for a general explanation|Pulsa <w>?</w> para una explicación general
Return to skill selection|Volver a selección de habilidades
set skill target|establecer objetivo de habilidad
will not be trained.|no se entrenarán.
The percentage of incoming experience used|Porcentaje de la experiencia entrante usada
The percentage of the progress done before reaching next|El porcentaje del progreso antes de alcanzar el siguiente
The relative cost of raising each skill is in|El coste relativo de subir cada habilidad está en
The species aptitude is in <white>white</white>.|La aptitud de la especie está en "blanco".
The chosen skills will be raised to the level shown in|Las habilidades elegidas se subirán al nivel indicado en
Bonus from skill manuals is in <lightred>red</lightred>.|La bonificación de los manuales de habilidades está en <lightred>rojo</lightred>.
Skills enhanced by|Habilidades potenciadas por
Skills reduced by|Habilidades reducidas por
You feel omnipotent.|Te sientes omnipotente.
You have gained great experience.|Has ganado una gran experiencia.
enabled (+) and <white>focused</white> (<white>*</white>)).|habilitado (+) y <white>centrado</white> (<white>*</white>)).
practise it. Skills marked with '<darkgrey>-</darkgrey>'|Practícala. Las habilidades marcadas con '<darkgrey>-</darkgrey>'
the Bane of the Dilettante|la Perdición del Diletante
the Charlatan's Orb|el Orbe del Charlatán
the Hermit's pendant|el colgante del Ermitaño
of skilling and the various toggles.|del entrenamiento y los diversos modificadores.
[<yellow>-</yellow>] clear all targets|[<yellow>-</yellow>] borrar todos los objetivos
[<yellow>-</yellow>] clear selected target|[<yellow>-</yellow>] borrar objetivo seleccionado
[<yellow>=</yellow>] set a skill target|[<yellow>=</yellow>] establecer objetivo de habilidad
Invalid switch state.|Estado de interruptor inválido.
Invalid view state.|Estado de vista inválido.
