# Traducciones de UI de DCSS - Habilidades
# Fuente: ability.cc
# Formato: Texto Inglés|Texto Español
# ============================================================================

# --- Nombres de habilidades ---
Ancestor Identity|Identidad del Ancestro
You feel stolen life flooding into you from an unseen source!|¡Te sientes robada de una fuente invisible!
You feel stolen life flooding into you!|¡Te sientes robada la vida inundada en ti!
You feel the orb feeding on your energy!|¡Sientes el orbe alimentando tu energía!
You gain the combat prowess of a mighty hero.|Ganas la fuerza de combate de un poderoso héroe.
You have already been granted divine vigour!|¡Ya te han concedido el vigor divino!
You have already called for blood!|¡Ya has pedido sangre!
You have exhausted your breath weapon. Slay more foes!|Has agotado tu arma respiratoria. ¡Mata a más enemigos!
You have no need to draw out power.|No Tienes que sacar el poder.
You have nothing to donate!|¡no tienes nada que donar!
You invoke the name of Kikubaaqudgha!|¡Invocas el nombre de Kikubaaqudgha!
You must be standing atop the corpse of a fallen apostle!|¡Debes estar parado sobre el cadáver de un apóstol caído!
You must recover your energy before doing this again.|Debes recuperar tu energía antes de hacer esto otra vez.
You must recover your energy before scattering into bats again.|Debes recuperar tu energía antes de dispersarte en los murciélagos otra vez.
You must recover your energy before unleashing another cacophony.|Debes recuperar tu energía antes de desencadenar otra cacofonía.
You must stoke the torch's fire more first.|Debe aturdir el fuego de la antorcha más primero.
You retract your mandibles.|Retractas tus mandíbulas.
You scatter into a swarm of vampire bats!|¡Te dispersas en un enjambre de murciélagos de vampiros!
You send your armour flying and begin to make an unholy cacophony!|¡Envias tu armadura volando y empiezas a hacer una cacofonía inesperada!
You're already here!|¡Ya estás aquí!
You're already rising!|¡Ya estás subiendo!
You're too exhausted to draw out your power.|Estás demasiado agotada para sacar tu poder.
You're too exhausted to power leap.|Estás demasiado agotada para saltar el poder.
You're too exhausted to unleash your apocalyptic power.|Estás demasiado agotada para liberar tu poder apocalíptico.
Your [hand(s)] get{s} new energy.|Tu nueva energía.
Your apostles are all alive!|¡Tus apóstoles están vivos!
Your flames flare with remembrance!|¡Tus llamas brillan con recuerdo!
Your legs are too worn out to hop.|Tus piernas están demasiado gastadas para saltar.
Your magical essence is drained by the effort!|¡Tu esencia mágica es drenada por el esfuerzo!
Your muscles tense, ready for explosive movement...|Tus músculos tensos, listos para el movimiento explosivo...
\nAfter this sacrifice, you will find that |\nDespués de este sacrificio, encontrarás que 
\nGold   : |\nGold :
\nHP     : |\nHP :
\nIf you make this sacrifice, your powers granted by Ru |\nSi haces este sacrificio, tus poderes concedidos por Ru
\nMP     : |\nMP :
\nPiety  : |\nPiety :
assemble a masterpiece.|ensambla una obra maestra.
between ability selection and description.|entre la selección de capacidades y la descripción.
corruption of the Abyss.|corrupción del Abismo.
invalid ability|habilidad inválida
invoke Cleansing Flame|invocar la Llama Limpiadora
new energy.|nueva energía.
no special abilities|no habilidades especiales
not susceptible|no susceptible
sacrifice, and you may gain new powers as well.\n\n|sacrificio, y puedes ganar nuevos poderes también.\n\n
will become stronger in proportion to the value of the |será más fuerte en proporción al valor del
